Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
image.netboxcommunity__netbox_v3.7-2.8.0.syft,ok,,,,,,,
image.netboxcommunity__netbox_v3.7-2.8.0.trivy,ok,,,,,,,
image.postgres_17-alpine.cdxgen,ok,,,,,,,
image.postgres_17-alpine.syft,ok,,,,,,,
image.postgres_17-alpine.trivy,ok,,,,,,,
image.sbom-bench__node-docker-node-example-nickjj_1.0.cdxgen,ok,,,,,,,
image.sbom-bench__node-docker-node-example-nickjj_1.0.syft,ok,,,,,,,
image.sbom-bench__node-docker-node-example-nickjj_1.0.trivy,ok,,,,,,,
image.sbom-bench__node-rest-llatinov_1.0.cdxgen,ok,,,,,,,
image.sbom-bench__node-rest-llatinov_1.0.syft,ok,,,,,,,
image.sbom-bench__node-rest-llatinov_1.0.trivy,ok,,,,,,,
image.sbom-bench__node-simple-api-asjordi_1.0.cdxgen,ok,,,,,,,
image.sbom-bench__node-simple-api-asjordi_1.0.syft,ok,,,,,,,
image.sbom-bench__node-simple-api-asjordi_1.0.trivy,ok,,,,,,,
image.sbom-bench__python-flask-lvthillo_1.0.cdxgen,ok,,,,,,,
image.sbom-bench__python-flask-lvthillo_1.0.syft,ok,,,,,,,
image.sbom-bench__python-flask-lvthillo_1.0.trivy,ok,,,,,,,
image.springcommunity__spring-framework-petclinic_latest.cdxgen,ok,,,,,,,
image.springcommunity__spring-framework-petclinic_latest.syft,ok,,,,,,,
image.springcommunity__spring-framework-petclinic_latest.trivy,ok,,,,,,,
image.springcommunity__spring-petclinic-rest_2.6.2.cdxgen,ok,,,,,,,
image.springcommunity__spring-petclinic-rest_2.6.2.syft,ok,,,,,,,
image.springcommunity__spring-petclinic-rest_2.6.2.trivy,ok,,,,,,,
image.strapi__strapi_latest.cdxgen,ok,,,,,,,
image.strapi__strapi_latest.syft,ok,,,,,,,
image.strapi__strapi_latest.trivy,ok,,,,,,,
binary.ecommerce-demo-diffblue.cdxgen,ok,,,,,,,
binary.ecommerce-demo-diffblue.syft,ok,,,,,,,
binary.ecommerce-demo-diffblue.trivy,ok,,,,,,,
binary.ecommerce-spring-boot-eherozhao.cdxgen,ok,,,,,,,
binary.ecommerce-spring-boot-eherozhao.syft,ok,,,,,,,
binary.ecommerce-spring-boot-eherozhao.trivy,ok,,,,,,,
binary.expense-tracker-application.cdxgen,ok,,,,,,,
binary.expense-tracker-application.syft,ok,,,,,,,
binary.expense-tracker-application.trivy,ok,,,,,,,
binary.java-ecommerce-demo-diffblue-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-ecommerce-demo-diffblue-syft-artifact.unknown,ok,,,,,,,
binary.java-ecommerce-demo-diffblue-trivy-artifact.unknown,ok,,,,,,,
binary.java-ecommerce-spring-boot-eherozhao-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-ecommerce-spring-boot-eherozhao-syft-artifact.unknown,ok,,,,,,,
binary.java-ecommerce-spring-boot-eherozhao-trivy-artifact.unknown,ok,,,,,,,
binary.java-expense-tracker-application-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-expense-tracker-application-syft-artifact.unknown,ok,,,,,,,
binary.java-expense-tracker-application-trivy-artifact.unknown,ok,,,,,,,
binary.java-java-spring-boot-secure-todo-app-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-java-spring-boot-secure-todo-app-syft-artifact.unknown,ok,,,,,,,
binary.java-java-spring-boot-secure-todo-app-trivy-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-3-rest-api-example-bezkoder-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-3-rest-api-example-bezkoder-syft-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-3-rest-api-example-bezkoder-trivy-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-3-todo-application-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-3-todo-application-syft-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-3-todo-application-trivy-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-ecommerce-rest-api-manirdev-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-ecommerce-rest-api-manirdev-syft-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-ecommerce-rest-api-manirdev-trivy-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-file-upload-download-cdxgen-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-file-upload-download-syft-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-file-upload-download-trivy-artifact.unknown,ok,,,,,,,
binary.java-spring-boot-secure-todo-app.cdxgen,ok,,,,,,,
binary.java-spring-boot-secure-todo-app.syft,ok,,,,,,,
binary.java-spring-boot-secure-todo-app.trivy,ok,,,,,,,
