Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
image.piomin__sample-spring-boot-app-k8s_latest.syft,ok,257.0,67,4,22,33,8,0
image.piomin__sample-spring-boot-app-k8s_latest.trivy,ok,232.0,56,2,13,15,7,19
image.portainer__portainer-ce_2.20.3.cdxgen,ok,1719.0,353,46,169,124,7,7
image.portainer__portainer-ce_2.20.3.syft,ok,796.0,167,13,21,46,3,84
image.portainer__portainer-ce_2.20.3.trivy,ok,2125.0,434,45,169,121,7,92
image.postgres_17-alpine.cdxgen,ok,10.0,4,0,1,1,2,0
image.postgres_17-alpine.syft,ok,77.0,16,1,1,0,2,12
image.postgres_17-alpine.trivy,ok,70.0,16,0,1,1,2,12
image.prom__prometheus_v2.54.0.cdxgen,ok,763.0,150,23,76,47,2,2
image.prom__prometheus_v2.54.0.syft,ok,226.0,48,4,5,13,2,24
image.prom__prometheus_v2.54.0.trivy,ok,878.0,173,23,76,47,2,25
image.python_3.10-alpine.cdxgen,ok,14.0,4,0,1,3,0,0
image.python_3.10-alpine.syft,ok,0.0,0,0,0,0,0,0
image.python_3.10-alpine.trivy,ok,14.0,4,0,1,3,0,0
image.python_3.11-slim.cdxgen,ok,49.0,13,0,0,4,2,7
image.python_3.11-slim.syft,ok,0.0,0,0,0,0,0,0
image.python_3.11-slim.trivy,ok,9.0,3,0,0,3,0,0
image.rabbitmq_3-management-alpine.cdxgen,ok,13.0,5,0,1,2,2,0
image.rabbitmq_3-management-alpine.syft,ok,7.0,3,0,1,0,2,0
image.rabbitmq_3-management-alpine.trivy,ok,10.0,4,0,1,1,2,0
image.raviganeshm__simple-node-js-app_latest.cdxgen,ok,461.0,105,8,54,34,9,0
image.raviganeshm__simple-node-js-app_latest.syft,ok,69.0,22,1,6,7,8,0
image.raviganeshm__simple-node-js-app_latest.trivy,ok,433.0,97,8,52,28,9,0
image.redis_7-alpine.cdxgen,ok,19.0,7,0,1,4,2,0
image.redis_7-alpine.syft,ok,417.0,84,7,31,13,3,30
image.redis_7-alpine.trivy,ok,380.0,78,0,0,1,2,75
image.sbom-bench__node-docker-node-example-nickjj_1.0.cdxgen,ok,418.0,90,6,47,27,2,8
image.sbom-bench__node-docker-node-example-nickjj_1.0.syft,ok,100.0,21,3,9,6,2,1
image.sbom-bench__node-docker-node-example-nickjj_1.0.trivy,ok,716.0,147,19,72,53,2,1
image.sbom-bench__node-rest-llatinov_1.0.cdxgen,ok,1344.0,274,40,130,95,9,0
image.sbom-bench__node-rest-llatinov_1.0.syft,ok,769.0,156,21,86,40,9,0
image.sbom-bench__node-rest-llatinov_1.0.trivy,ok,1325.0,269,40,128,92,9,0
image.sbom-bench__node-simple-api-asjordi_1.0.cdxgen,ok,676.0,150,8,87,51,3,1
image.sbom-bench__node-simple-api-asjordi_1.0.syft,ok,82.0,26,0,9,8,8,1
image.sbom-bench__node-simple-api-asjordi_1.0.trivy,ok,697.0,157,8,93,46,9,1
image.sbom-bench__python-flask-lvthillo_1.0.cdxgen,ok,13.0,5,0,1,2,2,0
image.sbom-bench__python-flask-lvthillo_1.0.syft,ok,10.0,4,0,1,1,2,0
image.sbom-bench__python-flask-lvthillo_1.0.trivy,ok,13.0,5,0,1,2,2,0
image.signoz__sample-nodejs-app_latest.cdxgen,ok,1496.0,403,37,73,234,59,0
