Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
binary.tasks-springboot-anantsingh1510.trivy,unknown,,,,,,,
binary.todo-springboot-harsh-codefreakkk.cdxgen,unknown,,,,,,,
binary.todo-springboot-harsh-codefreakkk.syft,unknown,,,,,,,
binary.todo-springboot-harsh-codefreakkk.trivy,unknown,,,,,,,
binary.todoapp-springboot-docker.cdxgen,unknown,,,,,,,
binary.todoapp-springboot-docker.syft,unknown,,,,,,,
binary.todoapp-springboot-docker.trivy,unknown,,,,,,,
binary.todolist-valeriyemelyanov.cdxgen,unknown,,,,,,,
binary.todolist-valeriyemelyanov.syft,unknown,,,,,,,
binary.todolist-valeriyemelyanov.trivy,unknown,,,,,,,
